"X","LLM","p0","p1","p2","p3","p4","p5","var1","var2","var3","var4","var5","n","treatment","temperature","ci_lower_p0","ci_upper_p0","ci_lower_p1","ci_upper_p1","ci_lower_p2","ci_upper_p2","ci_lower_p3","ci_upper_p3","ci_lower_p4","ci_upper_p4","ci_lower_p5","ci_upper_p5","ci_lower_n","ci_upper_n"
1,"chatgpt4",0.0102634668049545,0.98972780789026,2.14031353718779e-06,2.19499794600052e-06,2.19499665123395e-06,2.19499665123395e-06,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.25",0.25,0,0.0307995994659071,0.969183112533356,1,3.88789504627614e-43,4.29793413412992e-06,3.8808616421467e-43,4.31745672645204e-06,3.8808616421467e-43,4.29891808649113e-06,3.8808616421467e-43,4.29891808649113e-06,34.0081147308917,34.0081147308917
2,"chatgpt4",0.10318456337336,0.797787363397416,0.0621180492277029,0.0196364931205466,1.48409521182616e-05,0.0172586899288564,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.25",0.25,0.0429433301630172,0.168495158241109,0.735947512348871,0.859565848054006,0.0150980113552478,0.112988034399055,2.56314889628088e-06,0.0512855351993392,3.35741044152443e-07,3.53014772804349e-05,5.64153227403113e-07,0.0389124342850515,34.0002245876829,34.0002245876829
3,"chatgpt4",0.178204585539929,0.783891710281167,0.032766370708449,6.16488944330839e-06,2.63215957378185e-06,0.00512853642143805,0.972074077674813,7.76536625674436,8.38265993340389,7.05895997040173,0.970589599704017,34.0015773310163,"2_0.5",0.5,0.106854812755645,0.246355188538941,0.713331043800881,0.850894929181654,3.12064447874864e-05,0.0697467313929977,2.81696287166486e-07,0.0161002093893241,2.33158092116833e-07,2.18537034941612e-05,3.5215780463037e-07,0.0260180867094917,34.0001724358156,34.0001724358156
4,"chatgpt4",0.341083325543967,0.502456224051965,0.102717959030591,0.0328727563103965,8.03301274689137e-07,0.020868931761806,0.973311942455954,7.76591641886931,8.38291569059007,7.05907364026225,0.970590736402623,34.0028915273205,"unknown_0.5",0.5,0.248757310245307,0.439885869707888,0.419125532581318,0.585260278940385,0.0352568081972723,0.169022835165952,2.05785326007348e-06,0.0813282716632956,4.94403426664764e-07,9.32554575695765e-05,4.30321819599991e-06,0.0519825611498372,34.0000290536425,34.0000290536425
5,"chatgpt4",0.4757854369271,0.398150327865255,0.126061227779227,2.47200262984912e-06,2.9628407239501e-07,2.39141715454649e-07,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.75",0.75,0.38558076564546,0.570601363936968,0.315846087300541,0.477826775135439,0.0495983256663416,0.19355591379645,9.90534942367493e-08,4.58408692587287e-05,2.90122132034976e-08,3.33064571479847e-05,2.19499750750632e-08,3.32493181405657e-05,33.9999548077812,33.9999548077812
6,"chatgpt4",0.452224966637271,0.154597663497493,0.283616992047237,0.105892045465188,7.54067205646237e-06,0.00366079168075373,0.970458183925015,7.76464808174445,8.38232607105889,7.05881158713728,0.970588115871373,33.9998619478675,"unknown_0.75",0.75,0.350742934601248,0.629177877711608,0.0927427698312604,0.226137104005662,0.11683889477703,0.378663920182305,0.039058695953144,0.181980158969183,8.1638707422243e-08,2.11611054288536e-05,3.75985967599011e-09,0.0260046958889331,33.9999209667947,33.9999209667947
1,"chatgpto1",5.68890687013823e-06,1.22716318746788e-05,0.129894979680122,1.94732165007708e-05,1.25199194622026e-05,0.87005506664517,0.987109370721024,7.77204860920934,8.3857663989093,7.06034062173747,0.970603406217375,34.0175466380409,"2_1",1,8.45393755000146e-11,1.66280121347839e-05,2.24645012553103e-13,1.84210900051488e-05,0.0799855021785344,0.189938930579127,1.86661314994807e-13,4.10586804640663e-05,2.2471900152789e-13,1.87324108753203e-05,0.810002507174563,0.920002423355274,34.0000740431602,34.0000740431602
2,"chatgpto1",1.34055437883696e-06,2.83184068038252e-08,0.54294675648705,0.137093783721708,1.31975770488448e-06,0.319956771160751,1.02336492347377,7.78816218821057,8.39325721559375,7.06366987359722,0.970636698735972,34.0561162046542,"unknown_1",1,1.7341014781902e-07,4.68223985199079e-05,1.40214436059798e-10,3.79008264327719e-05,0.464135335847747,0.625099240865897,0.0687064242233663,0.200354842084179,1.32021404808539e-09,4.26763694329415e-05,0.249994291763691,0.399999998060818,33.9995782763342,33.9995782763342
1,"claude2",0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.25",0.25,0.999999755937359,0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,33.9983178884772,33.9983178884772
2,"claude2",0,1,3.88789504627614e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.25",0.25,0,0,1,1,3.88789504627614e-43,3.88789504627614e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,34.0081147308917,34.0081147308917
3,"claude2",0.999999675139127,1.29609964580518e-07,4.88133833748734e-08,4.88125121206954e-08,4.88125065713555e-08,4.88125065713555e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.5",0.5,0.999998890889818,0.999999755937359,4.88125271633706e-08,9.13857307272707e-07,4.88125271633706e-08,4.88152041890154e-08,4.88125121206954e-08,4.881275629226e-08,4.88125065713552e-08,4.88127507428924e-08,4.88125065713552e-08,4.88127507428924e-08,33.9984153836005,33.9984153836005
4,"claude2",0.0615992707416788,0.938372736477063,7.00208700648064e-06,6.9968980839454e-06,6.9968980839454e-06,6.9968980839454e-06,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.5",0.5,0.0205853152426291,0.102739557402923,0.897255869607177,0.979414243930694,5.75101000707874e-08,8.75762534164748e-06,5.80262122321731e-08,8.7514387628929e-06,5.80262122321731e-08,8.7514387628929e-06,5.80262122321731e-08,8.7514387628929e-06,34.0002724710296,34.0002724710296
5,"claude2",0.999998890889867,9.13857307273909e-07,4.88151986393747e-08,4.88125459808706e-08,4.88125404315269e-08,4.88125404315269e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.75",0.75,0.999982623015085,0.999999755937359,4.88125271633706e-08,1.71817328729738e-05,4.88125271633706e-08,4.88167096474345e-08,4.88116881200695e-08,4.88127124614874e-08,4.88116825708233e-08,4.88127069121248e-08,4.88116825708233e-08,4.88127069121248e-08,33.9986104073505,33.9986104073505
6,"claude2",0.10281091625626,0.89718856974183,1.27920712093022e-07,1.28693732554e-07,1.28693732554e-07,1.28693732554e-07,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.75",0.75,0.0513434199159415,0.153965174431992,0.845983970221371,0.948637578002213,2.73306757011555e-08,1.27107468994718e-05,2.75033040271352e-08,1.27129730331948e-05,2.75033040271352e-08,1.27129730331948e-05,2.75033040271352e-08,1.27129685611941e-05,34.0002284506255,34.0002284506255
1,"claude3",9.26642890508589e-06,0.749974845780248,0.249953694208175,2.24885264113454e-05,1.98551942999693e-05,1.98498619606836e-05,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.25",0.25,3.14609835516677e-08,1.21672297770214e-05,0.67999508681129,0.819997414710048,0.180002539924009,0.320004873436671,2.43565065806331e-09,2.37246891903365e-05,2.29773310079568e-09,2.20287823016011e-05,2.29720542102044e-09,2.20261560759761e-05,34.0011328774395,34.0011328774395
2,"claude3",3.30642917489854e-08,0.699994427727451,0.30000553155613,2.55403622883717e-09,2.54927055750258e-09,2.54882103806591e-09,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.25",0.25,2.85970464364294e-08,1.06617661208397e-05,0.630059059125855,0.769971326514748,0.22995452934304,0.369871029641033,2.03037895735571e-09,2.35682446538224e-05,1.95254628701285e-09,2.12348808261201e-05,1.95152593513268e-09,2.12670396927135e-05,34.0011085153197,34.0011085153197
3,"claude3",9.71442358133068e-06,0.759974073269929,0.239952825726154,2.283397696707e-05,2.02788658456153e-05,2.02737375225864e-05,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.5",0.5,3.16341982276036e-08,1.22019222100589e-05,0.689995505840652,0.829998023844187,0.170001932440004,0.310004455999223,2.48799934977779e-09,2.37359809540092e-05,2.39302702826378e-09,2.28283027412415e-05,2.39213292273602e-09,2.28291086007308e-05,34.0011110825072,34.0011110825072
4,"claude3",4.04639384221639e-08,0.679994065828277,0.320005884031688,3.57311599085084e-09,3.05481128200317e-09,3.04816959970597e-09,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.5",0.5,2.9616156999035e-08,1.06363272117715e-05,0.600020032381525,0.750122693388514,0.249806441565489,0.399906265485341,2.18605491839081e-09,2.29029416023464e-05,2.07466452359978e-09,2.1916568933015e-05,2.07379587559085e-09,2.19529263765104e-05,34.0016787094791,34.0016787094791
5,"claude3",1.07023596687128e-05,0.78012877892984,0.219794926066559,2.36730180662413e-05,2.0962386031361e-05,2.09572398344864e-05,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.75",0.75,3.18255611031493e-08,1.22335915755833e-05,0.709495006853664,0.84999721589008,0.150002743535134,0.29050495536968,2.54084484483992e-09,2.40678713287973e-05,2.45088408551471e-09,2.29524312396694e-05,2.45200670417779e-09,2.29535938130461e-05,34.0011312740386,34.0011312740386
6,"claude3",8.82462063922507e-06,0.730091971385647,0.269839238469217,2.17930581861916e-05,1.90886804992638e-05,1.90837858112578e-05,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.75",0.75,2.95650425030658e-08,1.12669370230301e-05,0.660032636308076,0.800117518406619,0.199803885974775,0.339899123300159,2.17644077481702e-09,2.38058952352388e-05,2.12606014575926e-09,2.1595577807488e-05,2.12570464213884e-09,2.15924825972928e-05,34.0011229719692,34.0011229719692
1,"gemini1",0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.5",0.5,0.999999755937359,0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,33.9983178884772,33.9983178884772
2,"gemini1",0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.25",0.25,0.999999755937359,0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,33.9983178884772,33.9983178884772
3,"gemini1",0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"2_0.75",0.75,0.999999755937359,0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,33.9983178884772,33.9983178884772
4,"gemini1",0.205446059060511,0.794553539695226,1.00308434478069e-07,1.00311943663206e-07,1.00311942102279e-07,1.00311942102279e-07,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.5",0.5,0.143707680626295,0.277276060777907,0.722631474191996,0.856247276578437,9.60897250563947e-08,2.30826066911341e-05,9.6168129510246e-08,2.3084800034487e-05,9.61681352820255e-08,2.30848211851716e-05,9.61681352820255e-08,2.30848211851716e-05,34.0001703918892,34.0001703918892
5,"gemini1",0.0719060272729773,0.928093302727209,1.67577054980133e-07,1.67474252874147e-07,1.67474252874147e-07,1.67474252874147e-07,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"unknown_0.25",0.25,0.0308070585873658,0.113020228844774,0.886968585668477,0.969182223345846,4.39873562860894e-08,8.76475040766251e-06,4.398291461789e-08,8.7585116306738e-06,4.398291461789e-08,8.7585116306738e-06,4.398291461789e-08,8.7585116306738e-06,34.000206077616,34.000206077616
