,session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,temp,random,feedback
0,1,1,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
1,1,2,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
2,1,3,50,66,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
3,1,4,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
4,1,5,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
5,1,6,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
6,1,7,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
7,1,8,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
8,1,9,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
9,1,10,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
10,1,11,67,89,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
11,1,1,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
12,1,2,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
13,1,3,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
14,1,4,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
15,1,5,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
16,1,6,45,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
17,1,7,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
18,1,8,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
19,1,9,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
20,1,10,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
21,1,11,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
22,1,1,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
23,1,2,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
24,1,3,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
25,1,4,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
26,1,5,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
27,1,6,50,67,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
28,1,7,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
29,1,8,50,67,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
30,1,9,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
31,1,10,50,67,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
32,1,11,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
33,1,1,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
34,1,2,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
35,1,3,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
36,1,4,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
37,1,5,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
38,1,6,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
39,1,7,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
40,1,8,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
41,1,9,45,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
42,1,10,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
43,1,11,50,66,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
44,1,1,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
45,1,2,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
46,1,3,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
47,1,4,50,66,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
48,1,5,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
49,1,6,50,67,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
50,1,7,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
51,1,8,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
52,1,9,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
53,1,10,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
54,1,11,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,random,feedback
55,1,1,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
56,1,2,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
57,1,3,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
58,1,4,50,67,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
59,1,5,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
60,1,6,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
61,1,7,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
62,1,8,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
63,1,9,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
64,1,10,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
65,1,11,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.75,fixed,feedback
66,2,1,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
67,2,2,50,66,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
68,2,3,50,67,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
69,2,4,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
70,2,5,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
71,2,6,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
72,2,7,45,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
73,2,8,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
74,2,9,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
75,2,10,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
76,2,11,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,random,feedback
77,2,1,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
78,2,2,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
79,2,3,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
80,2,4,45,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
81,2,5,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
82,2,6,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
83,2,7,50,67,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
84,2,8,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
85,2,9,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
86,2,10,50,67,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
87,2,11,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.25,fixed,feedback
88,2,1,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
89,2,2,50,67,100,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
90,2,3,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
91,2,4,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
92,2,5,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
93,2,6,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
94,2,7,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
95,2,8,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
96,2,9,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
97,2,10,45,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
98,2,11,67,89,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,random,feedback
99,2,1,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
100,2,2,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
101,2,3,50,66,88,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
102,2,4,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
103,2,5,50,67,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
104,2,6,50,66,89,100,100,100,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,0.5,fixed,feedback
