"X","LLM","tau","treatment","temperature","ci_lower_tau","ci_upper_tau"
1,"chatgpt4",0.911841367793129,"human decision maker_human decision maker_0.25",0.25,0.881363774133505,0.944671409598236
2,"chatgpt4",0.914711368563972,"human decision maker_human decision maker_0.5",0.5,0.861550191599312,0.970695702982954
3,"chatgpt4",0.829472844684298,"human decision maker_human decision maker_0.75",0.75,0.735386894449722,0.950463829933109
1,"chatgpto1",1.2111914960563,"human decision maker_human decision maker_1",1,1.10596226868206,1.30652384574604
1,"claude2",1.1784496804516e-32,"human decision maker__0.25",0.25,9.7489058409859e-37,4.46517152703634e-28
2,"claude2",2.27943672912929e-22,"human decision maker__0.5",0.5,2.7440647355865e-27,0.698617561445663
3,"claude2",2.97361609504196e-22,"human decision maker__0.75",0.75,4.43538063751669e-27,0.698885100518281
1,"claude3",4.9123521377738e-27,"human decision maker__0.25",0.25,5.25174638200568e-33,4.59489152950298e-21
2,"claude3",9.10800824807654e-31,"human decision maker__0.5",0.5,5.4301375991934e-36,1.52769267319033e-25
3,"claude3",4.91235297547854e-27,"human decision maker__0.75",0.75,2.92871381245407e-32,1.01249944136427e-21
1,"gemini1",1.11292507961866e-48,"human decision maker_human decision maker_0.5",0.5,1.11292507961866e-48,1.11292507961866e-48
2,"gemini1",1.11292507961866e-48,"human decision maker_human decision maker_0.25",0.25,1.11292507961866e-48,1.11292507961866e-48
3,"gemini1",1.11292507961866e-48,"human decision maker_human decision maker_0.75",0.75,1.11292507961866e-48,1.11292507961866e-48
1,"gemini2",0.999999516838443,"human decision maker_human decision maker_0.5",0.5,0.999999366997768,1.21768259992192
2,"gemini2",1.42025422622612,"human decision maker_human decision maker_0.25",0.25,1.27423813032252,1.56213895502331
3,"gemini2",1.80993895062029,"human decision maker_human decision maker_0.75",0.75,1.75714656588311,1.85218284014649
